image,left,top,right,bottom,label
0,0.0,214.4,674.2641150000001,1023.36,Person
0,522.5065199999999,445.44,704.35986,1023.36,Person
1,87.50937499999999,128.0,663.790625,908.8,Person
2,489.6,114.68731100000001,795.52,643.276037,Person
2,323.84,54.460371,618.88,593.300244,Person
3,0.0,203.52,654.808492,979.84,Person
4,803.84,357.517716,868.48,570.875305,Person
4,0.0,250.518936,377.6,581.1264520000001,Person
4,398.72,217.201513,545.28,419.66730100000007,Person
4,403.84,427.355832,513.92,538.198536,Person
4,405.12,87.13714,426.24,114.68731100000001,Person
4,422.4,75.604002,468.48,134.549634,Person
4,458.88,87.13714,483.84,125.579795,Person
4,480.0,104.43616399999999,502.4,135.830942,Person
4,506.24,100.59223999999999,542.08,138.394241,Person
4,549.76,94.185017,582.4,133.268326,Person
4,689.92,117.25061000000001,721.28,156.974573,Person
4,833.28,310.10522199999997,1019.52,394.038409,Person
4,848.0,381.223963,897.92,540.121181,Person
4,971.52,392.757101,1005.44,470.283065,Person
5,104.43616399999999,356.48,312.66783799999996,736.0,Person
6,0.0,499.84,193.95233,919.68,Person
6,192.032555,137.6,531.28933,919.68,Person
6,199.07316,475.52,323.25436,922.88,Person
6,423.1112600000001,569.6,533.2098199999999,805.76,Person
7,48.639744,225.28,169.599744,445.44,Person
7,139.520256,545.28,249.60000000000002,631.04,Person
